factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste
incineration_facility,我孫子市クリーンセンター,"[140.028336, 35.864166]",千葉県我孫子市,我孫子市(千葉県),0,新設（建設中）,
incineration_facility,鎌ヶ谷市クリーンセンター,"[140.000839, 35.776943]",千葉県鎌ケ谷市,鎌ケ谷市(千葉県),0,,無し
incineration_facility,君津市清掃工場,"[139.990723, 35.259441]",千葉県君津市清和市場,君津市(千葉県),0,休止,無し
incineration_facility,浦安市クリーンセンター(ごみ処理施設),"[139.901978, 35.65316]",千葉県浦安市,浦安市(千葉県),43607,,有り
incineration_facility,四街道市クリーンセンターごみ焼却施設,"[140.167969, 35.669819]",千葉県四街道市,四街道市(千葉県),22102,,無し
incineration_facility,袖ヶ浦市クリーンセンターごみ焼却施設,"[139.954453, 35.429874]",千葉県袖ケ浦市,袖ケ浦市(千葉県),0,休止,無し
incineration_facility,八街市クリーンセンター,"[140.318008, 35.665878]",千葉県八街市,八街市(千葉県),18699,,無し
incineration_facility,いすみクリーンセンター,"[140.385284, 35.253887]",千葉県いすみ市,いすみ市(千葉県),8565,,無し
incineration_facility,御宿町清掃センター,"[140.348618, 35.191666]",千葉県夷隅郡御宿町,御宿町(千葉県),6580,,無し
incineration_facility,酒々井リサイクル文化センター焼却処理施設(AB系),"[140.269562, 35.724865]",千葉県印旛郡酒々井町,佐倉市、酒々井町清掃組合(千葉県),11988,,無し
incineration_facility,酒々井リサイクル文化センター焼却処理施設(C系),"[140.269562, 35.724865]",千葉県印旛郡酒々井町,佐倉市、酒々井町清掃組合(千葉県),18310,,無し
incineration_facility,酒々井リサイクル文化センター焼却処理施設(D系),"[140.269562, 35.724865]",千葉県印旛郡酒々井町,佐倉市、酒々井町清掃組合(千葉県),20283,,無し
incineration_facility,東金市外三市町環境クリーンセンター(焼却施設),"[140.366119, 35.559998]",千葉県東金市,東金市外三市町清掃組合(千葉県),41969,,無し
incineration_facility,東金市外三市町環境クリーンセンター(廃棄物再生利用施設),"[140.366119, 35.559998]",千葉県東金市,東金市外三市町清掃組合(千葉県),0,休止,無し
