name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
八幡浜市諏訪崎一般廃棄物最終処分場,"[132.42337, 33.462883]",八幡浜市(愛媛県),88,海面,破砕ごみ・中間処理残査,87300,埋立中,愛媛県八幡浜市
新居浜市平尾谷不燃物埋立所,"[133.293869, 33.962379]",新居浜市(愛媛県),100,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,491270,埋立終了,愛媛県新居浜市平形町
新居浜市最終処分場,"[133.283401, 33.960297]",新居浜市(愛媛県),53,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,335000,埋立中,愛媛県新居浜市
西条市船屋不燃物捨場,"[133.223694, 33.942162]",西条市(愛媛県),79,山間,不燃ごみ,20545,埋立中,愛媛県西条市船屋乙
大洲市不燃物埋立地,"[132.544495, 33.50618]",大洲市(愛媛県),62,山間,破砕ごみ・中間処理残査,211300,埋立中,愛媛県大洲市
北条市一般廃棄物最終処分場,"[132.779617, 33.978985]",北条市(愛媛県),26,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,150000,埋立中,愛媛県松山市北条
生名村一般廃棄物最終処分場,"[133.178513, 34.270477]",生名村(愛媛県),70,水面,不燃ごみ,5000,埋立中,愛媛県上島町生名
岩城村先田名後最終処分場,"[133.148682, 34.261036]",岩城村(愛媛県),57,平地,不燃ごみ・その他,8000,埋立中,愛媛県上島町岩城
砥部町千里埋立処分場,"[132.799393, 33.744061]",砥部町(愛媛県),35,山間,不燃ごみ・直接搬入ごみ・焼却残渣,60000,埋立中,愛媛県砥部町千足
砥部町大角蔵埋立処分場,"[132.752609, 33.730553]",砥部町(愛媛県),76,山間,焼却残渣,15000,埋立中,愛媛県砥部町大角蔵
伊方町一般廃棄物最終処分場,"[132.354172, 33.488571]",伊方町(愛媛県),21,山間,不燃ごみ・直接搬入ごみ・焼却残渣,28000,埋立中,愛媛県伊方町
伊方町不燃物処理場,"[132.354172, 33.488571]",伊方町(愛媛県),100,山間,不燃ごみ,30000,埋立終了,愛媛県伊方町
