都道府県名,地方公共団体名,施設名称,年間処理量,施設の改廃,産業廃棄物の搬入の有無
埼玉県,朝霞市,朝霞市クリーンセンター,28064.99,,無し
埼玉県,朝霞市,朝霞市クリーンセンター,0,休止,無し
埼玉県,和光市,和光市清掃センター,19597.59,,無し
埼玉県,桶川市,桶川市ごみ焼却施設,0,休止,無し
埼玉県,坂戸市,坂戸市西清掃センター,21068,,無し
埼玉県,坂戸市,坂戸市東清掃センター焼却施設,0,休止,無し
埼玉県,ふじみ野市,ふじみ野市・三芳町環境センター,34029,,無し
埼玉県,伊奈町,伊奈町クリーンセンター,10756.89,,無し
埼玉県,川島町,川島町環境センターごみ処理施設,4836,,無し
埼玉県,杉戸町,杉戸町環境センター,20630,,無し
埼玉県,蓮田白岡衛生組合,蓮田白岡衛生組合ごみ焼却施設,27448,,有り
埼玉県,久喜宮代衛生組合,久喜宮代清掃センター75t／24hごみ処理施設(1号炉),11800,,無し
埼玉県,久喜宮代衛生組合,久喜宮代清掃センター75t／24hごみ処理施設(2号炉),9187,,無し
埼玉県,久喜宮代衛生組合,菖蒲清掃センター焼却施設,5668,,無し
埼玉県,久喜宮代衛生組合,八甫清掃センターごみ焼却施設,15863,,無し
埼玉県,志木地区衛生組合,富士見環境センターごみ焼却施設,20293,,無し
埼玉県,志木地区衛生組合,新座環境センター東工場,23885,,無し
埼玉県,志木地区衛生組合,新座環境センター西工場,23707,,無し
埼玉県,小川地区衛生組合,小川地区衛生組合ごみ焼却場,14413,,無し
埼玉県,東埼玉資源環境組合,第一工場ごみ処理施設,161899,,無し
埼玉県,東埼玉資源環境組合,第二工場ごみ処理施設,82384,,無し
埼玉県,蕨戸田衛生センター組合,蕨戸田衛生センターごみ処理施設,53018,,無し
埼玉県,彩北広域清掃組合,小針クリーンセンター,31018,,無し
埼玉県,秩父広域市町村圏組合,秩父広域市町村圏組合秩父クリーンセンター,27586,,有り
埼玉県,児玉郡市広域市町村圏組合,児玉郡市広域市町村圏組合立小山川クリーンセンター,46496,,無し
埼玉県,埼玉西部環境保全組合,高倉クリーンセンター,32287,,無し
埼玉県,埼玉西部環境保全組合,埼玉西部クリーンセンター,0,新設（建設中）,無し
埼玉県,大里広域市町村圏組合,大里広域市町村圏組合立熊谷衛生センター第一工場,34730,,無し
埼玉県,大里広域市町村圏組合,大里広域市町村圏組合立熊谷衛生センター第二工場,38314,,無し
埼玉県,大里広域市町村圏組合,大里広域市町村圏組合立深谷清掃センター,27030,,無し
埼玉県,大里広域市町村圏組合,大里広域市町村圏組合立江南清掃センター,23019,,無し
埼玉県,埼玉中部環境保全組合,埼玉中部環境センター,37606,,有り
千葉県,千葉市,北清掃工場,120792,,無し
千葉県,千葉市,新港清掃工場,105576,,無し
千葉県,銚子市,銚子市清掃センター(焼却施設),0,廃止,無し
千葉県,市川市,市川市クリーンセンター(ごみ焼却処理施設),124966,,無し
千葉県,船橋市,船橋市北部清掃工場,79882.85,,無し
千葉県,船橋市,船橋市南部清掃工場,0,休止,無し
千葉県,船橋市,船橋市南部清掃工場,86893.25,,無し
千葉県,館山市,館山市清掃センター,16651,,無し
千葉県,松戸市,松戸市和名ヶ谷クリーンセンター,82335,,有り
千葉県,野田市,野田市清掃工場,23414,,有り
千葉県,成田市,成田富里いずみ清掃工場,53304,,無し
千葉県,旭市,旭市クリーンセンター焼却施設,,廃止,
千葉県,習志野市,芝園清掃工場,54038.55,,有り
千葉県,柏市,柏市清掃工場,67536,,無し
千葉県,柏市,柏市第二清掃工場,39029,,無し
千葉県,勝浦市,勝浦市クリーンセンター,5659,,無し
千葉県,市原市,市原市福増クリーンセンター第一工場,27706.55,,無し
千葉県,市原市,市原市福増クリーンセンター第二工場,51067.93,,無し
千葉県,流山市,流山市クリーンセンターごみ焼却施設,42882,,無し
千葉県,八千代市,八千代市清掃センター(3号炉),22249,,無し
千葉県,八千代市,八千代市清掃センター(1・2号炉),27512,,無し
千葉県,我孫子市,我孫子市クリーンセンター(2号炉),12720,,無し
千葉県,我孫子市,我孫子市クリーンセンター(1号炉),16817,,無し
千葉県,我孫子市,我孫子市クリーンセンター,0,新設（建設中）,
千葉県,鴨川市,鴨川清掃センター,10935,,無し
千葉県,鎌ケ谷市,鎌ヶ谷市クリーンセンター,0,,無し
千葉県,君津市,君津市清掃工場,0,休止,無し
千葉県,浦安市,浦安市クリーンセンター(ごみ処理施設),43607,,有り
千葉県,四街道市,四街道市クリーンセンターごみ焼却施設,22102,,無し
千葉県,袖ケ浦市,袖ヶ浦市クリーンセンターごみ焼却施設,0,休止,無し
千葉県,八街市,八街市クリーンセンター,18699,,無し
千葉県,いすみ市,いすみクリーンセンター,8565,,無し
千葉県,御宿町,御宿町清掃センター,6580,,無し
千葉県,鋸南地区環境衛生組合,大谷クリーンセンター,6460,,無し
千葉県,佐倉市、酒々井町清掃組合,酒々井リサイクル文化センター焼却処理施設(AB系),11988,,無し
千葉県,佐倉市、酒々井町清掃組合,酒々井リサイクル文化センター焼却処理施設(C系),18310,,無し
千葉県,佐倉市、酒々井町清掃組合,酒々井リサイクル文化センター焼却処理施設(D系),20283,,無し
千葉県,東金市外三市町清掃組合,東金市外三市町環境クリーンセンター(焼却施設),41969,,無し
千葉県,東金市外三市町清掃組合,東金市外三市町環境クリーンセンター(廃棄物再生利用施設),0,休止,無し
千葉県,山武郡市環境衛生組合,ごみ焼却施設,15891,,無し
千葉県,柏・白井・鎌ケ谷環境衛生組合,クリーンセンターしらさぎ,40612.38,,有り
千葉県,匝瑳市ほか二町環境衛生組合,匝瑳市ほか二町環境衛生組合松山清掃工場,0,廃止,無し
千葉県,長生郡市広域市町村圏組合,環境衛生センターごみ処理場3号炉,13569,,無し
千葉県,長生郡市広域市町村圏組合,環境衛生センターごみ処理場1,2号炉,34771,,無し
千葉県,香取広域市町村圏事務組合,伊地山クリーンセンター,21764,,無し
千葉県,東総地区広域市区町村圏事務組合,東総地区クリーンセンター,53263,新設（新規稼働）,無し
千葉県,印西地区環境整備事業組合,印西クリーンセンター,46667,,無し
東京都,八王子市,八王子市戸吹清掃工場,66877,,無し
東京都,八王子市,八王子市北野清掃工場,19750,,無し
東京都,八王子市,館クリーンセンター,0,新設（建設中）,
東京都,立川市,立川市清掃工場,28704,,無し
東京都,立川市,立川市クリーンセンタ－（建設中）,0,新設（建設中）,無し
東京都,武蔵野市,武蔵野クリーンセンター,28631.13,,無し
東京都,昭島市,昭島市清掃センター,22665,,無し
東京都,町田市,町田リサイクル文化センター,68157,廃止,無し
東京都,町田市,町田市バイオエネルギーセンター,18389,新設（建設中）, 新設（新規稼働）,無し
東京都,日野市,日野市クリーンセンターごみ焼却施設,0,休止,無し
東京都,東村山市,東村山市秋水園,23518,,有り
東京都,国分寺市,国分寺市清掃センター,0,休止,無し
東京都,大島町,千波環境美化センター(焼却施設),3242,,無し
東京都,利島村,利島村清掃センター,64,,無し
東京都,新島村,新島村清掃センター,1284,,無し
東京都,神津島村,神津島村清掃センター,900,,無し
東京都,三宅村,三宅村クリーンセンター,1314,,無し
東京都,御蔵島村,御蔵島じん芥処理施設,210,能力変更,有り
東京都,八丈町,八丈町クリーンセンター,2844,,無し
東京都,八丈町,新八丈町クリーンセンター,0,新設（建設中）,無し
東京都,小笠原村,父島クリーンセンター,700,,有り
東京都,ふじみ衛生組合,クリーンプラザふじみ,77056,,無し
東京都,柳泉園組合,柳泉園クリーンポート,72220,,無し
東京都,西多摩衛生組合,西多摩衛生組合環境センター,63743,,無し
東京都,多摩川衛生組合,クリーンセンター多摩川,92791,,無し
東京都,小平・村山・大和衛生組合,4・5号ごみ焼却施設,50768,,無し
東京都,西秋川衛生組合,西秋川衛生組合高尾清掃センター　熱回収施設(焼却施設),27562,,無し
東京都,多摩ニュータウン環境組合,多摩清掃工場,56179,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合大田清掃工場第一工場,47936.91,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合有明清掃工場,108267.94,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合墨田清掃工場,129889.67,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合千歳清掃工場,117073.1,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合杉並清掃工場,167715.72,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合新江東清掃工場,348473.16,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合港清掃工場,160323.05,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合練馬清掃工場,141219.34,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合豊島清掃工場,77615.38,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合北清掃工場,126388.2,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合渋谷清掃工場,48548.03,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合中央清掃工場,111193.41,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合板橋清掃工場,127297.39,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合多摩川清掃工場,68023.03,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合足立清掃工場,143942.79,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合世田谷清掃工場,71906.77,,無し
