都道府県名,地方公共団体名,施設名,埋め立て済み割合,埋立場所,処理対象廃棄物,全体容積(m3),処分場の現状
北海道,浜中町,浜中町廃棄物最終処分場,18,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,43300,埋立中
北海道,浜中町,浜中町不燃物最終処分場,100,山間,不燃ごみ・その他・直接搬入ごみ・粗大ごみ・焼却残渣,131305,埋立中
北海道,標茶町,標茶町クリーンセンター（埋立最終処分場）,13,山間,不燃ごみ・粗大ごみ・焼却残渣,29329,埋立中
北海道,弟子屈町,弟子屈町廃棄物処理施設最終処分場,5,平地,焼却残渣,55000,埋立中
北海道,弟子屈町,弟子屈町塵芥捨場,96,平地,混合・直接搬入ごみ・粗大ごみ,191544,埋立中
北海道,弟子屈町,弟子屈町川湯捨場,100,山間,可燃ごみ・不燃ごみ,20334,埋立終了
北海道,阿寒町,阿寒町塵芥処理場,75,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,43280,埋立中
北海道,白糠町,白糠町一般廃棄物最終処分場,11,山間,破砕ごみ・中間処理残査・焼却残渣,37500,埋立中
北海道,音別町,音別町一般廃棄物最終処分場,7,山間,不燃ごみ・焼却残渣,10000,埋立中
北海道,音別町,音別町尺別ごみ捨場,100,山間,不燃ごみ・その他・粗大ごみ,9000,埋立終了
北海道,音別町,音別町中音別埋立地,89,山間,不燃ごみ・焼却残渣,3000,埋立終了
北海道,別海町,別海町ごみ処理場,93,平地,不燃ごみ,9000,埋立中
北海道,中標津町,中標津町清掃センター,92,平地,直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,40191,埋立中
北海道,標津町,標津町トド山最終処分場,92,平地,不燃ごみ・その他,24000,埋立中
北海道,羅臼町,羅臼町ごみ焼却場埋立地,96,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,20000,埋立中
北海道,北後志衛生施設組合,北後志衛生施設組合北後志清掃センター焼却残灰埋立地,100,山間,破砕ごみ・中間処理残査・焼却残渣,13800,埋立終了
北海道,十勝環境複合事務組合,十勝環境複合事務組合一般廃棄物最終処分場,63,山間,直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,1057000,埋立中
北海道,南空知公衆衛生組合,南空知公衆衛生組合一般廃棄物最終処分場,19,平地,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,76800,埋立中
北海道,岩内地方衛生組合,岩内地方衛生組合一般廃棄物最終処分場,28,平地,可燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,45000,埋立中
北海道,北部桧山衛生センター組合,北部桧山衛生センター組合最終処分地施設,79,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,267115,埋立中
北海道,南十勝３町村複合事務組合,南十勝３町村複合事務組合南十勝廃棄物処理センター,49,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,101960,埋立中
北海道,東胆振三町広域行政事務組合,東胆振三町広域行政事務組合最終処分場,99,山間,可燃ごみ・不燃ごみ・その他・直接搬入ごみ・焼却残渣,60000,埋立中
北海道,南部桧山衛生処理組合,南部桧山衛生処理組合一般廃棄物最終処分場,16,山間,破砕ごみ・中間処理残査・焼却残渣,97000,埋立中
北海道,北空知衛生施設組合,北空知衛生施設組合廃棄物最終処分場,17,平地,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,55400,埋立中
北海道,北空知衛生施設組合,北空知衛生施設組合埋立処分地施設,51,平地,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,567000,埋立終了
北海道,渡島西部広域事務組合,渡島西部広域事務組合渡島西部衛生センター,4,平地,破砕ごみ・中間処理残査・焼却残渣,75000,埋立中
北海道,恵山地区衛生処理組合,恵山地区衛生処理組合恵山地区クリーンセンター一般廃棄物最終処分場,16,山間,破砕ごみ・中間処理残査・焼却残渣,18300,埋立中
北海道,サロベツ清掃組合,サロベツ清掃組合最終処分場,81,山間,混合・その他,60160,埋立中
